# Epoch,Error
1.000000000000000000e+00,8.755598571014404297e+06
2.000000000000000000e+00,7.257325524139404297e+06
3.000000000000000000e+00,6.953417985534667969e+06
4.000000000000000000e+00,6.764655081176757812e+06
5.000000000000000000e+00,6.640707446289062500e+06
6.000000000000000000e+00,6.552158552551269531e+06
7.000000000000000000e+00,6.485892075347900391e+06
8.000000000000000000e+00,6.431266174316406250e+06
9.000000000000000000e+00,6.387631319427490234e+06
1.000000000000000000e+01,6.351366414642333984e+06
1.100000000000000000e+01,6.318877184295654297e+06
1.200000000000000000e+01,6.291078374481201172e+06
1.300000000000000000e+01,6.267291807556152344e+06
1.400000000000000000e+01,6.245407215118408203e+06
1.500000000000000000e+01,6.226306713867187500e+06
1.600000000000000000e+01,6.208534528350830078e+06
1.700000000000000000e+01,6.192796443176269531e+06
1.800000000000000000e+01,6.179421767425537109e+06
1.900000000000000000e+01,6.167460420227050781e+06
2.000000000000000000e+01,6.154502645874023438e+06
2.100000000000000000e+01,6.144450459289550781e+06
2.200000000000000000e+01,6.135710179901123047e+06
2.300000000000000000e+01,6.124097814178466797e+06
2.400000000000000000e+01,6.118025491333007812e+06
2.500000000000000000e+01,6.108990507507324219e+06
2.600000000000000000e+01,6.102327084350585938e+06
2.700000000000000000e+01,6.093465963745117188e+06
2.800000000000000000e+01,6.087056128692626953e+06
2.900000000000000000e+01,6.081179649353027344e+06
3.000000000000000000e+01,6.075180036163330078e+06
3.100000000000000000e+01,6.068495251464843750e+06
3.200000000000000000e+01,6.063452420043945312e+06
3.300000000000000000e+01,6.057443255615234375e+06
3.400000000000000000e+01,6.053603294372558594e+06
3.500000000000000000e+01,6.048031726837158203e+06
3.600000000000000000e+01,6.042690969848632812e+06
3.700000000000000000e+01,6.038101948547363281e+06
3.800000000000000000e+01,6.035157086944580078e+06
3.900000000000000000e+01,6.030508234405517578e+06
4.000000000000000000e+01,6.026494403076171875e+06
4.100000000000000000e+01,6.022214533233642578e+06
4.200000000000000000e+01,6.018265538787841797e+06
4.300000000000000000e+01,6.014152669525146484e+06
4.400000000000000000e+01,6.010457786560058594e+06
4.500000000000000000e+01,6.007330950164794922e+06
4.600000000000000000e+01,6.003708300781250000e+06
4.700000000000000000e+01,6.002580349731445312e+06
4.800000000000000000e+01,5.998014972686767578e+06
4.900000000000000000e+01,5.992467797088623047e+06
5.000000000000000000e+01,5.992264272308349609e+06
5.100000000000000000e+01,5.988875855255126953e+06
5.200000000000000000e+01,5.985004589080810547e+06
5.300000000000000000e+01,5.983046899414062500e+06
5.400000000000000000e+01,5.978361678314208984e+06
5.500000000000000000e+01,5.976890422821044922e+06
5.600000000000000000e+01,5.974396641540527344e+06
5.700000000000000000e+01,5.973876174163818359e+06
5.800000000000000000e+01,5.969179012298583984e+06
5.900000000000000000e+01,5.967417778015136719e+06
6.000000000000000000e+01,5.965541933441162109e+06
6.100000000000000000e+01,5.962366699981689453e+06
6.200000000000000000e+01,5.960898132324218750e+06
6.300000000000000000e+01,5.957776974487304688e+06
6.400000000000000000e+01,5.958680033111572266e+06
6.500000000000000000e+01,5.952970139312744141e+06
6.600000000000000000e+01,5.951891393280029297e+06
6.700000000000000000e+01,5.950866767120361328e+06
6.800000000000000000e+01,5.948767414093017578e+06
6.900000000000000000e+01,5.945430635833740234e+06
7.000000000000000000e+01,5.944687315368652344e+06
7.100000000000000000e+01,5.942687360382080078e+06
7.200000000000000000e+01,5.942247156524658203e+06
7.300000000000000000e+01,5.937336061859130859e+06
7.400000000000000000e+01,5.936842908477783203e+06
7.500000000000000000e+01,5.935614384460449219e+06
7.600000000000000000e+01,5.933910710906982422e+06
7.700000000000000000e+01,5.933110144042968750e+06
7.800000000000000000e+01,5.929403267669677734e+06
7.900000000000000000e+01,5.928502273559570312e+06
8.000000000000000000e+01,5.925496894073486328e+06
8.100000000000000000e+01,5.926294966125488281e+06
8.200000000000000000e+01,5.924004368591308594e+06
8.300000000000000000e+01,5.922810482025146484e+06
8.400000000000000000e+01,5.921134891510009766e+06
8.500000000000000000e+01,5.919125852966308594e+06
8.600000000000000000e+01,5.918944072723388672e+06
8.700000000000000000e+01,5.916986215209960938e+06
8.800000000000000000e+01,5.913832270050048828e+06
8.900000000000000000e+01,5.913093906402587891e+06
9.000000000000000000e+01,5.912991006469726562e+06
9.100000000000000000e+01,5.911970498657226562e+06
9.200000000000000000e+01,5.909584444427490234e+06
9.300000000000000000e+01,5.908378052520751953e+06
9.400000000000000000e+01,5.907832824707031250e+06
9.500000000000000000e+01,5.906708348083496094e+06
9.600000000000000000e+01,5.905281296539306641e+06
9.700000000000000000e+01,5.904576213836669922e+06
9.800000000000000000e+01,5.902560327911376953e+06
9.900000000000000000e+01,5.901161225128173828e+06
1.000000000000000000e+02,5.900502642059326172e+06
